topic,meaning,hint,masked_meaning,hint_vi
Electronics,Tivi,,T**i,"Thiết bị điện tử có màn hình, dùng để xem các chương trình truyền hình và phim ảnh."
Electronics,Máy giặt,,M*y g**t,Thiết bị gia dụng dùng để tự động làm sạch quần áo bằng nước và xà phòng.
Electronics,Quạt,,Q**t,"Thiết bị có cánh quay bằng động cơ, tạo ra gió để làm mát."
Electronics,Lò vi sóng,,** ** s**g,Thiết bị nhà bếp dùng sóng điện từ để hâm nóng hoặc nấu chín thức ăn nhanh chóng.
Electronics,Điện thoại,,Đ**n t***i,"Thiết bị di động cầm tay dùng để liên lạc, lướt web và giải trí."
Electronics,Máy ảnh,,M*y ả*h,Thiết bị dùng để thu nhận hình ảnh và lưu lại những khoảnh khắc.
Electronics,Máy sấy tóc,,M*y s*y t*c,Thiết bị thổi ra luồng khí nóng để làm khô tóc nhanh chóng sau khi gội.
Electronics,Máy hút bụi,,M*y h*t b*i,Thiết bị dùng lực hút để làm sạch bụi bẩn trên sàn nhà hoặc thảm.
Electronics,Lò nướng,,** n***g,"Thiết bị nhà bếp có không gian kín dùng để nướng chín thức ăn như thịt, bánh."
Electronics,Máy xay sinh tố,,M*y x*y s**h **,"Thiết bị có lưỡi dao xoay dùng để nghiền nát trái cây, thực phẩm thành dạng lỏng."
Electronics,Nồi cơm điện,,N*i c*m đ**n,Thiết bị nhà bếp chuyên dụng để nấu chín gạo thành cơm một cách tự động.
Electronics,Cục sạc,,C*c s*c,Phụ kiện dùng để cung cấp năng lượng điện cho pin của các thiết bị điện tử.
Electronics,Sạc dự phòng,,S*c ** p***g,Viên pin di động cỡ lớn dùng để sạc điện thoại khi không có ổ cắm điện.
Electronics,Điều khiển,,Đ**u k***n,"Thiết bị cầm tay có các nút bấm để thao tác tivi, điều hòa từ xa."
Electronics,Kệ tivi,,** t**i,Đồ nội thất dài và thấp dùng để đặt tivi và các thiết bị giải trí đi kèm.
Electronics,Hang động,,H**g đ**g,Khoảng trống tự nhiên rất sâu bên trong một ngọn núi hoặc dưới lòng đất.
Electronics,Pin,,P*n,Bộ phận cung cấp và dự trữ năng lượng điện cho các thiết bị điện tử.
Electronics,Dây cáp,,D*y c*p,Sợi dây bọc nhựa có lõi kim loại dùng để truyền tải điện hoặc tín hiệu.
Electronics,Thiết bị,,T***t **,Một máy móc hoặc công cụ được chế tạo ra cho một mục đích nhất định.
Electronics,Quả trứng,,Q*ả t***g,"Thực phẩm hình bầu dục do các loài gia cầm đẻ ra, bên trong có lòng đỏ và lòng trắng."
Electronics,Tàu hỏa,,T*u h*a,"Phương tiện gồm một đầu máy kéo theo nhiều toa dài, chạy trên đường ray."
Electronics,Máy bay,,M*y b*y,"Phương tiện khổng lồ có cánh, bay được trên không trung để chở người đi quãng đường xa."
Electronics,Xe máy,,** m*y,"Phương tiện hai bánh gắn động cơ, phổ biến nhất trên đường phố Việt Nam."
Electronics,Trực thăng,,T**c t***g,"Máy bay có cánh quạt lớn trên nóc, có khả năng cất cánh và hạ cánh thẳng đứng."
Electronics,Tàu điện ngầm,,T*u đ**n n**m,Phương tiện tàu hỏa chạy trong các đường hầm được đào sâu dưới lòng đất thành phố.
Electronics,Máy kéo,,M*y k*o,Phương tiện cơ giới bánh to thường dùng ở nông trại để cày ruộng.
Electronics,Xe tay ga,,** t*y **,"Loại xe máy thiết kế sàn để chân rộng, người lái không cần đạp số."
Electronics,Xe điện,,** đ**n,Phương tiện đi lại giống xe máy nhưng dùng pin hoặc bình ắc quy thay vì đổ xăng.
Electronics,Máy ủi,,M*y **,Xe công trình có lưỡi thép lớn phía trước dùng để san bằng đất đá.
Electronics,Máy xúc,,M*y x*c,Xe công trình có cánh tay dài và gàu múc để đào đất.
